Date,type,title_id,from_day
2017-01-03,1,1,
2017-01-04,1,1,
2017-01-05,1,1,
2017-01-06,1,1,
2017-01-07,1,2,
2017-01-08,1,1,
2017-02-22,2,,
2017-02-23,1,3,
2017-02-24,1,,
2017-03-07,2,,
2017-03-08,1,4,
2017-05-01,1,5,
2017-05-08,1,,
2017-05-09,1,6,
2017-06-12,1,7,
2017-11-03,2,,
2017-11-04,1,8,
2017-11-06,1,,
2018-01-01,1,1,
2018-01-02,1,1,
2018-01-03,1,1,
2018-01-04,1,1,
2018-01-05,1,1,
2018-01-06,1,1,
2018-01-07,1,2,
2018-01-08,1,1,
2018-02-22,2,,
2018-02-23,1,3,
2018-03-07,2,,
2018-03-08,1,4,
2018-03-09,1,,
2018-04-28,2,,
2018-04-30,1,,
2018-05-01,1,5,
2018-05-02,1,,
2018-05-08,2,,
2018-05-09,1,6,
2018-06-09,2,,
2018-06-11,1,,
2018-06-12,1,7,
2018-11-04,1,8,
2018-11-05,1,,
2018-12-29,2,,
2018-12-31,1,,
2019-01-01,1,1,
2019-01-02,1,1,
2019-01-03,1,1,
2019-01-04,1,1,
2019-01-05,1,1,
2019-01-06,1,1,
2019-01-07,1,2,
2019-01-08,1,1,
2019-02-22,2,,
2019-02-23,1,3,
2019-03-07,2,,
2019-03-08,1,4,
2019-04-30,2,,
2019-05-01,1,5,
2019-05-02,1,,
2019-05-03,1,,
2019-05-08,2,,
2019-05-09,1,6,
2019-05-10,1,,
2019-06-11,2,,
2019-06-12,1,7,
2019-11-04,1,8,
2019-12-31,2,,
2020-01-01,1,1,
2020-01-02,1,1,
2020-01-03,1,1,
2020-01-04,1,1,
2020-01-05,1,1,
2020-01-06,1,1,
2020-01-07,1,2,
2020-01-08,1,1,
2020-02-23,1,3,
2020-02-24,1,,
2020-03-08,1,4,
2020-03-09,1,,
2020-03-30,1,9,
2020-03-31,1,9,
2020-04-01,1,9,
2020-04-02,1,9,
2020-04-03,1,9,
2020-04-04,1,10,
2020-04-05,1,10,
2020-04-06,1,10,
2020-04-07,1,10,
2020-04-08,1,10,
2020-04-09,1,10,
2020-04-10,1,10,
2020-04-11,1,10,
2020-04-12,1,10,
2020-04-13,1,10,
2020-04-14,1,10,
2020-04-15,1,10,
2020-04-16,1,10,
2020-04-17,1,10,
2020-04-18,1,10,
2020-04-19,1,10,
2020-04-20,1,10,
2020-04-21,1,10,
2020-04-22,1,10,
2020-04-23,1,10,
2020-04-24,1,10,
2020-04-25,1,10,
2020-04-26,1,10,
2020-04-27,1,10,
2020-04-28,1,10,
2020-04-29,1,10,
2020-04-30,1,10,
2020-05-01,1,5,
2020-05-02,1,,
2020-05-03,1,,
2020-05-04,1,,
2020-05-05,1,,
2020-05-06,1,11,
2020-05-07,1,11,
2020-05-08,1,11,
2020-05-09,1,6,
2020-05-10,1,,
2020-05-11,1,,
2020-06-11,2,,
2020-06-12,1,7,
2020-06-24,1,12,
2020-07-01,1,13,
2020-11-03,2,,
2020-11-04,1,8,
2020-12-31,2,,
2021-01-01,1,1,
2021-01-02,1,1,
2021-01-03,1,1,
2021-01-04,1,1,
2021-01-05,1,1,
2021-01-06,1,1,
2021-01-07,1,2,
2021-01-08,1,1,
2021-02-20,2,,
2021-02-22,1,,02.20
2021-02-23,1,3,
2021-03-08,1,4,
2021-04-30,2,,
2021-05-01,1,5,
2021-05-03,1,,
2021-05-04,1,9,
2021-05-05,1,9,
2021-05-06,1,9,
2021-05-07,1,9,
2021-05-09,1,6,
2021-05-10,1,,
2021-06-11,2,,
2021-06-12,1,7,
2021-06-14,1,,
2021-10-30,1,10,
2021-10-31,1,10,
2021-11-01,1,10,
2021-11-02,1,10,
2021-11-03,1,10,
2021-11-04,1,8,
2021-11-05,1,,01.02
2021-12-31,1,,01.03
2022-01-01,1,1,
2022-01-02,1,1,
2022-01-03,1,1,
2022-01-04,1,1,
2022-01-05,1,1,
2022-01-06,1,1,
2022-01-07,1,2,
2022-01-08,1,1,
2022-02-22,2,,
2022-02-23,1,3,
2022-03-05,2,,
2022-03-07,1,,03.05
2022-03-08,1,4,
2022-05-01,1,5,
2022-05-02,1,,05.01
2022-05-03,1,,01.01
2022-05-09,1,6,
2022-05-10,1,,01.02
2022-06-12,1,7,
2022-06-13,1,,06.12
2022-11-03,2,,
2022-11-04,1,8,
2023-01-01,1,1,
2023-01-02,1,1,
2023-01-03,1,1,
2023-01-04,1,1,
2023-01-05,1,1,
2023-01-06,1,1,
2023-01-07,1,2,
2023-01-08,1,1,
2023-02-22,2,,
2023-02-23,1,3,
2023-02-24,1,,01.01
2023-03-07,2,,
2023-03-08,1,4,
2023-05-01,1,5,
2023-05-08,1,,01.08
2023-05-09,1,6,
2023-06-12,1,7,
2023-11-03,2,,
2023-11-04,1,8,
2023-11-06,1,,11.04
2024-01-01,1,1,
2024-01-02,1,1,
2024-01-03,1,1,
2024-01-04,1,1,
2024-01-05,1,1,
2024-01-06,1,1,
2024-01-07,1,2,
2024-01-08,1,1,
2024-02-22,2,,
2024-02-23,1,3,
2024-03-07,2,,
2024-03-08,1,4,
2024-04-27,3,,
2024-04-29,1,,04.27
2024-04-30,1,,11.02
2024-05-01,1,5,
2024-05-08,2,,
2024-05-09,1,6,
2024-05-10,1,,01.06
2024-06-11,2,,
2024-06-12,1,7,
2024-11-02,2,,
2024-11-04,1,8,
2024-12-28,3,,
2024-12-30,1,,12.28
2024-12-31,1,,01.07
